@relation page-blocks

@attribute height numeric
@attribute lenght numeric
@attribute area numeric
@attribute eccen numeric
@attribute p_black numeric
@attribute p_and numeric
@attribute mean_tr numeric
@attribute blackpix numeric
@attribute blackand numeric
@attribute wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
109,545,59405,5,0.907937,0.998165,24.078571,53936,59296,2239,1
768,1024,786432,1.333333,0.888037,0.99699,53.393043,698381,784065,13079,3
768,1024,786432,1.333333,0.594229,0.60981,145.855493,467321,479574,3203,3
768,1024,786432,1.333333,0.814902,0.877804,173.347309,640865,690333,3696,3
768,1024,786432,1.333333,0.910824,0.975816,218.384451,716301,767413,3279,3
411,565,232215,1.374696,0.081907,0.290748,2.558515,19020,67516,7433,1
768,1024,786432,1.333333,0.623325,0.865035,19.953718,490203,680291,24566,3
768,1024,786432,1.333333,0.573795,0.599494,130.797391,451251,471461,3449,3
768,1024,786432,1.333333,0.314963,0.404619,18.249245,247697,318205,13572,3
1538,1208,1857904,0.785436,0.127539,0.294679,17.667387,236955,547486,13411,1
768,1024,786432,1.333333,0.5369,0.687621,55.962227,422235,540767,7544,3
